Conformation_ID,Num_IMHB,IMHB_Pairs
2841,2,"[(84, 16), (92, 31)]"
2842,1,"[(84, 16)]"
2843,3,"[(84, 16), (92, 31), (92, 28)]"
2844,3,"[(84, 16), (92, 31), (92, 28)]"
2845,1,"[(84, 16)]"
2846,1,"[(84, 16)]"
2847,1,"[(84, 16)]"
2848,2,"[(84, 16), (92, 31)]"
2849,3,"[(84, 16), (92, 31), (92, 28)]"
2850,3,"[(84, 16), (92, 31), (92, 28)]"
2851,2,"[(84, 16), (92, 31)]"
2852,2,"[(84, 16), (92, 31)]"
2853,1,"[(84, 16)]"
2854,3,"[(84, 16), (92, 31), (109, 59)]"
2855,3,"[(84, 16), (92, 28), (109, 59)]"
2856,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2857,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2858,3,"[(84, 16), (92, 31), (109, 59)]"
2859,3,"[(84, 16), (92, 31), (109, 59)]"
2860,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2861,3,"[(84, 16), (92, 31), (109, 59)]"
2862,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2863,2,"[(84, 16), (109, 59)]"
2864,1,"[(84, 16)]"
2865,3,"[(84, 16), (92, 31), (109, 59)]"
2866,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2867,3,"[(84, 16), (92, 28), (109, 59)]"
2868,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2869,3,"[(84, 16), (92, 28), (109, 59)]"
2870,2,"[(84, 16), (109, 59)]"
2871,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2872,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2873,3,"[(84, 16), (92, 31), (109, 59)]"
2874,3,"[(84, 16), (92, 31), (109, 59)]"
2875,1,"[(84, 16)]"
2876,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2877,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2878,3,"[(84, 16), (88, 36), (109, 59)]"
2879,3,"[(84, 16), (88, 36), (109, 59)]"
2880,3,"[(84, 16), (88, 36), (109, 59)]"
2881,2,"[(84, 16), (88, 36)]"
2882,3,"[(84, 16), (88, 36), (109, 59)]"
2883,2,"[(84, 16), (88, 36)]"
2884,2,"[(84, 16), (88, 36)]"
2885,2,"[(84, 16), (88, 36)]"
2886,3,"[(84, 16), (88, 36), (109, 59)]"
2887,3,"[(84, 16), (88, 36), (109, 59)]"
2888,3,"[(84, 16), (88, 36), (109, 59)]"
2889,3,"[(84, 16), (88, 36), (109, 59)]"
2890,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2891,4,"[(84, 16), (88, 36), (92, 31), (109, 59)]"
2892,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2893,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2894,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2895,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2896,3,"[(84, 16), (88, 36), (109, 59)]"
2897,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2898,3,"[(84, 16), (88, 36), (109, 59)]"
2899,3,"[(84, 16), (88, 36), (109, 59)]"
2900,3,"[(84, 16), (88, 36), (109, 59)]"
2901,3,"[(84, 16), (88, 36), (109, 59)]"
2902,3,"[(84, 16), (88, 36), (109, 59)]"
2903,3,"[(84, 16), (88, 36), (109, 59)]"
2904,3,"[(84, 16), (88, 36), (109, 59)]"
2905,3,"[(84, 16), (88, 36), (109, 59)]"
2906,4,"[(84, 16), (88, 36), (92, 28), (109, 59)]"
2907,3,"[(84, 16), (88, 36), (109, 59)]"
