Molecule_Name,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
,0.181684803933686,0.8917412501411531,7.247279878616892e-05,0.45254562509949564,0.8639860300244855,11921.521515592041,22760.19803272502,26343.24773987375,5.548803215796949,0.5091485150018289
,0.16734758072252404,0.8824679546847333,7.080833975721316e-05,0.47037252147052916,0.8774314436816805,12391.639836355542,23115.32654417206,26344.310670222538,5.5862437401228835,0.5118237923239556
,0.16732090901924931,0.8832134824082417,7.051672627839146e-05,0.4689711552881547,0.8527737023233317,12093.211743220818,21990.2073612818,25786.68561351127,5.496048473203199,0.5091033386099131
,0.13743830034974305,0.8571397762942085,7.040645110014029e-05,0.5150838804450343,0.926053751741603,13152.967338525,23647.32272314943,25535.58330569536,5.6080847719692555,0.5543992836480247
,0.14895186203595073,0.8686853556636654,6.97903961111959e-05,0.4953642627960671,0.8956512448453758,12833.445498981686,23203.715528324727,25907.087900414394,5.590440650570249,0.5254015063717256
,0.1466783069337672,0.8634944336303431,7.308875629777749e-05,0.5043583677202281,0.937809572603518,12831.105906121917,23858.30139042236,25440.454104331307,5.598810106785998,0.5341442404731269
,0.14628366844024185,0.867159744080697,6.658706228449513e-05,0.49803009773095064,0.8870853441257476,13322.1877297372,23729.32387135786,26749.764302265536,5.6736197726020485,0.5339824643096239
,0.12243892417634157,0.8479650588029509,6.548460981568722e-05,0.5300521286150147,0.8640998642449197,13195.464807334312,21511.467897429753,24894.654874442338,5.4837097470637906,0.5442666337950693
,0.18955447659181618,0.8949916283615376,7.322352488900475e-05,0.4460829352965244,0.8952741512057076,12226.591830464338,24538.377859895878,27408.786266026887,5.690157331535452,0.49355083818777945
,0.11595913387792584,0.841874274304643,6.368391614041507e-05,0.5396737035135495,0.8568859060583447,13455.295433921156,21364.11862226073,24932.27916483675,5.49061072229401,0.5636418219786382
,0.12137620014228814,0.8465700505299362,6.562353210223198e-05,0.5322773239071352,0.8738530597524546,13316.154003888694,21861.46468727493,25017.323499980477,5.510938270006936,0.5643327260909872
,0.1482430911541109,0.8698498561288484,6.792140465750851e-05,0.49331655941456287,0.8570405169707248,12618.121213663408,21921.504400726015,25578.1424175945,5.507404431316065,0.5238965643601368
,0.14748306636712763,0.8695526340727009,5.970682666336421e-05,0.4938402743572334,0.8243442957463902,13806.53338677943,23046.595493324832,27957.48768111222,5.718322198776854,0.48000743681469915
,0.10943378367231565,0.8306483409875987,6.791439769253053e-05,0.556797390093156,0.9230451986557502,13591.303611859463,22531.333238290692,24409.783259913533,5.526364985785626,0.5767328130215345
,0.14871761612141204,0.8699925352941438,6.884701353078894e-05,0.49306489282088223,0.864393504281987,12555.279596774713,22010.69734615791,25463.74682031098,5.503370074438175,0.5400140058236393
,0.1376192610682597,0.8598035695971351,6.812035936095567e-05,0.5106249325170331,0.8947638447764896,13135.042932397368,23016.427062350864,25723.46569065978,5.587312030626487,0.5346849009567594
,0.2098707826822828,0.9070987820884393,6.576221463615771e-05,0.42091780614945484,0.8216321233227982,12493.9850013969,24388.275514806763,29682.719093524578,5.795200247262036,0.40838774613551326
,0.17139800593312635,0.885444206106357,5.914982621566849e-05,0.46474569161282514,0.7947985212426629,13437.038992214737,22979.747663351023,28912.670380189335,5.741165545644728,0.4178482411704156
,0.20051738310283845,0.9024541699637565,6.488221003693817e-05,0.4307858761786733,0.8193581842463874,12628.395114468476,24019.308577900614,29314.784473645803,5.7689139385909405,0.4007815814804811
,0.17007256176620714,0.8848950328628293,6.899583414770019e-05,0.46579049025789715,0.8562728681336845,12410.500991996869,22814.496005509478,26643.955279390673,5.587041872942775,0.4931968872092904
,0.16117116759950578,0.879293594184315,6.203769728500853e-05,0.4762801436407246,0.8179779255187823,13185.175487105764,22644.619215281684,27683.655645010094,5.660807656749984,0.48081282563783223
,0.19266075273182134,0.8981258694666107,7.112085098131983e-05,0.43973847067870325,0.8539498983045561,12007.02587949699,23317.037767724254,27304.924813526206,5.621254447400214,0.4798325697018393
,0.11913369617501685,0.8446352109498739,6.812211460158434e-05,0.5353422834259048,0.8685973800694001,12750.593330072565,20687.94545791613,23817.646625025718,5.374731218838001,0.5682675289339694
,0.17258019769455094,0.8863804532967681,6.863716567479727e-05,0.4629575488243129,0.8597822302566165,12526.482144240375,23263.573048102047,27057.51785677013,5.631055414831157,0.4870579243661239
,0.16482789402972303,0.8815136410907671,6.862304787179931e-05,0.4721585544823881,0.8562417424368679,12477.465938797819,22627.41419213538,26426.432011756,5.571775812653837,0.4973259299896802
,0.11778438423974982,0.8433304923795631,6.539609648060192e-05,0.5373952740979807,0.8681687405551323,13275.543759903961,21446.80584615449,24703.499267251642,5.475619262194919,0.5520601595553691
,0.13279938306245057,0.8566743730792515,6.602311488921132e-05,0.5158575564138528,0.87850175488519,13305.972557631389,22659.976764894884,25793.88901489022,5.582112961497744,0.5328476994347885
,0.1773866077337227,0.8890699056208435,7.043229901395023e-05,0.4577714527134086,0.8682610921363191,12327.598336160321,23381.916743230136,26929.59174952771,5.621708515287608,0.4889118919867838
,0.17029030164998818,0.8853347807287433,6.552477227229237e-05,0.46495411174866275,0.8277720803108625,12632.963863971976,22490.853428186958,27170.345513152264,5.606208199954952,0.487166700813893
,0.15390873511979344,0.8740152271696398,6.620648450911552e-05,0.48589853125483207,0.856474170831957,12936.409132462466,22802.497996146314,26623.684371002753,5.609286499724293,0.49625606439562214
,0.12780234355262118,0.8531414981957512,6.500287113189405e-05,0.5216795798728461,0.8554688721502287,13160.478256636388,21581.023918755745,25227.129380536837,5.500568973675677,0.5316846604699098
,0.1420454699697977,0.861320346046661,7.003450499642373e-05,0.5080622614267469,0.9219156253109899,13163.734438589478,23886.54577944832,25909.68752849879,5.636088370173995,0.5439913527151538
,0.1356682208385392,0.8543685267450364,7.124944031760145e-05,0.5196676057900053,0.9384253245374381,13170.985208505695,23784.407438635604,25345.01874228431,5.606489365825885,0.5516399333580745
,0.1295286690293139,0.8548284331569419,6.681876170296253e-05,0.5189107340058092,0.8474943888812568,12683.479419279358,20714.887811917608,24442.50732947329,5.402104374464502,0.5455653982102189
,0.1232379432107376,0.8437274520585312,7.009969531469828e-05,0.5367718199037829,0.932420938741362,13301.355085146211,23105.650362285003,24780.27830807232,5.556177771387444,0.5527593456185933
,0.14278380970326304,0.8622260988648056,6.978745825049671e-05,0.506523597117033,0.9183454974685129,13159.17674164579,23858.06067054879,25979.3952671574,5.637729228105109,0.5400733957499991
,0.1268502256964054,0.8519688701610192,6.426333708476715e-05,0.5235924410040281,0.8660346198512152,13476.340618739798,22290.19483618944,25738.226076942392,5.570573579126292,0.5337181724395719
,0.12672947501270848,0.8522728201150293,6.429896633258192e-05,0.5230975435740213,0.8507908543607007,13231.79675953178,21520.826866922947,25295.084869117545,5.504194409611829,0.5322677959620442
,0.1202795423502447,0.8459383599405429,6.536984872425768e-05,0.533280687050548,0.8632203350477826,13205.175656578438,21375.190273027813,24762.148671862105,5.471778620138902,0.5440822937738025
,0.10045126768759637,0.8251209229586897,6.192048686950632e-05,0.5649561597998558,0.8434063856831695,13620.797062862206,20334.086143927158,24109.476154198546,5.412530602439563,0.5599146742919041
,0.13443774362061053,0.8575714464211507,6.68827636882242e-05,0.514364864938436,0.8877768757913403,13273.627267104812,22909.845031929774,25805.85917098658,5.592474620160222,0.5279045669629979
,0.11460578891925065,0.8383590206840777,6.883718363871856e-05,0.5451184755974011,0.8988261664448745,13057.276880504385,21529.67226042228,23953.09912435967,5.434656300885329,0.5656540846606143
