Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA),Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
11,-0.03257965412836257,-0.028936580036251058,-0.0014886389163362602,-0.022943647448760162,-0.013901048767268675,-0.02988882110224842,-0.017660322015350817,-0.0024909844770152124,-0.018802076321365702,-0.015069365107284627,0.02731808816123178,-0.009214123692508158,-0.03170207422053648,0.051453771424974246,-0.06760270637287225,0.021592298105139872,-0.028542121179876832,-0.05716834942857316,-0.07135377637476041,-0.0345778186534758
12,-0.010916783196587333,-0.007508415571934634,0.020932332480766737,-0.010113590646137816,0.002622634677634328,-0.1290364377562241,-0.028986775783377307,0.007507817743459255,-0.008743657764240853,0.0038803453620868122,-0.01766341887876789,0.007528560364333803,0.01265742844279003,0.026151406585800376,-0.0006105356532091988,0.011989497943512072,-0.010500625721434375,-0.0027757745904750664,0.015540731734946456,0.005460047189884865
13,-0.06789410353949739,-0.048518691134967276,-0.030097143843761432,-0.056923130553854825,-0.1020187646829728,-0.22674981541763106,-0.06633861287627825,-0.017580681613876603,-0.050402820549481996,-0.15024924068772558,-0.016438539905483652,0.05387182612657267,-0.03705653224903731,-0.04450814684388902,-0.28469103156672276,-0.07923649361384581,-0.01670294594374764,-0.14353374497428334,-0.15509600070979268,-0.004265058420591483
14,-0.018755640877231382,-0.025692694060872556,0.014116630228656635,-0.02564581559762531,-0.0012190519152815327,0.057793855044392696,-0.004744001561803435,-0.0043847115875408574,-0.032245802544330425,-0.008718285425155048,-0.005372049580506144,-0.00028174618386340723,-0.018633550437263623,-0.023503421103089606,0.019020081271837897,-0.031615294433247045,-0.02681269024966739,-0.0018118096181379607,-0.026779479938758666,-0.007894612995374773
15,-0.0028957602642357026,-0.0012221142662393824,-0.02199175022117098,-0.0018670425309258664,-0.012513445661304278,-0.006414186362138074,-0.011206560850312497,-0.011881112990732945,0.00043295815258032055,0.01583848572437352,-0.005414812096712529,-0.027157121846668953,-0.01288761239154348,0.03208273025906635,-0.028515987734437108,-0.012974796316531811,-0.003392521961660122,-0.013855173351215467,0.009548900224515733,-0.01762130899699803
16,-0.004953929122190592,-0.004631330152445034,-0.00825059901133216,0.0007743844604258809,-0.025014693519988085,0.028869213506671088,0.020810474893982977,-0.0047894527994872815,6.825565666108701e-05,-0.005782176358771207,-0.030654904069885736,-0.005159103459853686,0.031158603665112517,0.0713321183358822,-0.021440411651209978,0.05768217462794443,-0.02982782181351775,0.03840014049963632,0.06539149277166001,0.0010323538203307115
17,-0.2605141727731087,-0.27182008293145377,-0.15636178883339058,-0.19250422981076407,-0.0745255102071957,-0.0899153166420398,-0.14174302349733287,-0.28911144678510786,-0.20881480977760242,-0.15024862830674762,-0.9238479001323181,-0.45437345510323046,-0.08784782910092015,-0.46940849967422144,0.12019534537728567,-0.10675376525531344,-0.2030671643195685,-0.0603982836675558,-0.14027676708371786,-0.05856223750081928
18,-0.013458606248570648,-0.010904499773598952,0.037644807246107456,-0.009692320581858848,-0.011212835588078174,-0.11448524325846958,-0.008576459977590578,0.006593243253597248,-0.008331318647466146,-0.009351007794628474,0.020277972015934332,0.017209497862024435,0.02981736648166784,0.036728537216675725,-0.14745200167033073,0.03672313530132796,-0.004186073266879808,7.645152175708158e-05,-0.058366869446210924,-0.017873992382843838
19,-0.012337451175268655,-0.0181835226237101,-0.035358349226960795,-0.013396559017675447,-0.22035784179048643,0.018836428300496012,0.008404719814700368,-0.010253958313190759,-0.016571674237676935,-0.2089838835320697,-0.035930586679338905,0.004139671061323913,-0.02816263828539316,-0.04113540711831711,-0.007220663955710127,-0.07078184724207219,-0.016055014122080147,-0.033486160633538355,0.013373415642489417,0.006448296133998177
20,-0.046731116647130366,-0.04221741234360894,-0.06261367884970628,-0.0438939512520903,-0.02844914633709983,-0.010460985851196258,-0.0321124264819312,-0.0708660606907358,-0.04682788122917607,-0.04469170899096355,-0.09228277258747294,-0.0060287141549628,-0.03223789003617483,-0.12917629842930384,-0.05507597275863163,-0.049920149840954386,-0.030033888361708706,-0.00985797517871596,-0.033069503064326725,-0.011417384626568227
